timestamp,timestamp_seconds,run_id,node_id,operating_mode,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T00:00:00+00:00,0.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.1244,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,fixed mode,99.988
2026-01-01T00:01:00+00:00,60.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.911,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.986
2026-01-01T00:02:00+00:00,120.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0336,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.98400000000001
2026-01-01T00:03:00+00:00,180.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.1576,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.98200000000001
2026-01-01T00:04:00+00:00,240.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.8959,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.98000000000002
2026-01-01T00:05:00+00:00,300.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0343,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,fixed mode,99.96800000000002
2026-01-01T00:06:00+00:00,360.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.9669,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.96600000000002
2026-01-01T00:07:00+00:00,420.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0541,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.96400000000003
2026-01-01T00:08:00+00:00,480.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0176,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.96200000000003
2026-01-01T00:09:00+00:00,540.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.1104,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.96000000000004
2026-01-01T00:10:00+00:00,600.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0647,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,fixed mode,99.94800000000004
2026-01-01T00:11:00+00:00,660.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.9506,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.94600000000004
2026-01-01T00:12:00+00:00,720.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.1298,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.94400000000005
2026-01-01T00:13:00+00:00,780.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.8649,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.94200000000005
2026-01-01T00:14:00+00:00,840.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.9634,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.94000000000005
2026-01-01T00:15:00+00:00,900.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0551,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,fixed mode,99.92800000000005
2026-01-01T00:16:00+00:00,960.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.9259,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.92600000000006
2026-01-01T00:17:00+00:00,1020.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.9338,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.92400000000006
2026-01-01T00:18:00+00:00,1080.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.8068,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.92200000000007
2026-01-01T00:19:00+00:00,1140.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0355,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.92000000000007
2026-01-01T00:20:00+00:00,1200.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.9714,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,fixed mode,99.90800000000007
2026-01-01T00:21:00+00:00,1260.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.109,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.90600000000008
2026-01-01T00:22:00+00:00,1320.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.063,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.90400000000008
2026-01-01T00:23:00+00:00,1380.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,4.0221,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.90200000000009
2026-01-01T00:24:00+00:00,1440.0,sudden_spike-20268964-352ac1cd26e3,1,fixed,3.7792,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,fixed mode,99.90000000000009
