experiment_id,mode,metric_name,metric_value,unit,value_type
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,accepted_packets,56.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,alerts_generated,40.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,corrupted_packets,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,delivered_packets,56.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,dropped_packets,3.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,duplicated_packets,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,estimated_energy_per_delivered_packet,0.015401785714285715,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,estimated_inference_energy,0.0,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,estimated_processing_energy,0.0605,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,estimated_radio_energy,0.56,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,estimated_sensing_energy,0.242,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,estimated_total_energy,0.8625,estimated unit,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,false_alert_event_rate,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,mean_latency,1250.8873195098276,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,mean_warning_lead_time,0.0,seconds,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,median_latency,984.8419222666962,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,median_warning_lead_time,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,minimum_warning_lead_time,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,missed_event_rate,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,model_fallback_duration,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,out_of_order_packets,1.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,p95_latency,1740.9394115970827,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,packet_delivery_ratio,1.0,ratio,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,packet_loss_rate,0.05357142857142857,ratio,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,rejected_packets,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,retries,4.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,sensor_fault_duration,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,state_transitions,1.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,total_inferences,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,total_sensor_samples,121.0,count,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:fixed,fixed,total_transmissions,56.0,count,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,accepted_packets,82.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,alerts_generated,62.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,corrupted_packets,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,delivered_packets,82.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,dropped_packets,5.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,duplicated_packets,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,estimated_energy_per_delivered_packet,0.013689024390243902,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,estimated_inference_energy,0.0,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,estimated_processing_energy,0.0605,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,estimated_radio_energy,0.8200000000000001,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,estimated_sensing_energy,0.242,value,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,estimated_total_energy,1.1225,estimated unit,ESTIMATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,false_alert_event_rate,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,mean_latency,1347.5261886935668,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,mean_warning_lead_time,4440.0,seconds,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,median_latency,1009.5220141580801,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,median_warning_lead_time,4440.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,minimum_warning_lead_time,4440.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,missed_event_rate,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,model_fallback_duration,4.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,out_of_order_packets,3.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,p95_latency,2632.7275327376815,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,packet_delivery_ratio,1.0,ratio,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,packet_loss_rate,0.06097560975609756,ratio,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,rejected_packets,0.0,value,SIMULATED_SOFTWARE_VALUE
gradual_warming-20273476-0d2c80e384ab:rule_based,rule_based,retries,7.0,value,SIMULATED_SOFTWARE_VALUE
