node_id,sequence_number,alert,timestamp_seconds
2,4,EXCURSION_RISK,480.0
2,5,EXCURSION_RISK,540.0
2,6,EXCURSION_RISK,600.0
2,10,EXCURSION_RISK,960.0
2,11,EXCURSION_RISK,1020.0
2,18,EXCURSION_RISK,1560.0
2,19,EXCURSION_RISK,1620.0
2,20,EXCURSION_RISK,1800.0
2,21,EXCURSION_RISK,1860.0
2,24,EXCURSION_RISK,2160.0
2,25,EXCURSION_RISK,2220.0
2,28,EXCURSION_RISK,2400.0
2,29,EXCURSION_RISK,2460.0
2,31,EXCURSION_RISK,2820.0
2,32,EXCURSION_RISK,2880.0
2,33,EXCURSION_RISK,3060.0
2,34,EXCURSION_RISK,3120.0
2,35,EXCURSION_RISK,3420.0
2,36,EXCURSION_RISK,3480.0
2,37,EXCURSION_RISK,3780.0
2,38,EXCURSION_RISK,3840.0
2,41,EXCURSION_RISK,4740.0
2,42,EXCURSION_RISK,4800.0
2,43,EXCURSION_RISK,4920.0
2,44,EXCURSION_RISK,4980.0
2,45,EXCURSION_RISK,5040.0
2,46,EXCURSION_RISK,5100.0
2,47,EXCURSION_RISK,5160.0
2,48,EXCURSION_RISK,5220.0
2,49,EXCURSION_RISK,5280.0
2,50,EXCURSION_RISK,5340.0
2,51,EXCURSION_RISK,5400.0
2,52,EXCURSION_RISK,5460.0
2,53,EXCURSION_RISK,5520.0
2,54,EXCURSION_RISK,5580.0
2,55,EXCURSION_RISK,5640.0
2,56,EXCURSION_RISK,5700.0
2,57,EXCURSION_RISK,5760.0
2,58,EXCURSION_RISK,5820.0
2,59,EXCURSION_RISK,5880.0
2,60,EXCURSION_RISK,5940.0
2,61,EXCURSION_RISK,6000.0
2,62,EXCURSION_RISK,6060.0
2,63,EXCURSION_RISK,6120.0
2,64,EXCURSION_RISK,6180.0
2,65,EXCURSION_RISK,6240.0
2,66,EXCURSION_RISK,6300.0
2,67,EXCURSION_RISK,6360.0
2,68,EXCURSION_RISK,6420.0
2,69,EXCURSION_RISK,6480.0
2,70,EXCURSION_RISK,6540.0
2,71,EXCURSION_RISK,6600.0
2,72,EXCURSION_RISK,6660.0
2,73,EXCURSION_RISK,6720.0
2,74,EXCURSION_RISK,6780.0
2,75,EXCURSION_RISK,6840.0
2,76,EXCURSION_RISK,6900.0
2,77,EXCURSION_RISK,6960.0
2,78,EXCURSION_RISK,7020.0
2,79,EXCURSION_RISK,7080.0
2,80,EXCURSION_RISK,7140.0
2,81,EXCURSION_RISK,7200.0
