run_id,split,start_timestamp,end_timestamp,row_count,valid_temperature_rows,missing_15min_intervals_inside_run,source_files,primary_temperature_column,sampling_interval_seconds
t15_20120313,train,2012-03-13T11:45:00,2012-03-13T23:45:00,49,49,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120314,train,2012-03-14T00:00:00,2012-03-14T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120315,train,2012-03-15T00:00:00,2012-03-15T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120316,train,2012-03-16T00:00:00,2012-03-16T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120317,train,2012-03-17T00:00:00,2012-03-17T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120318,train,2012-03-18T00:00:00,2012-03-18T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120319,train,2012-03-19T00:00:00,2012-03-19T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120320,train,2012-03-20T00:00:00,2012-03-20T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120321,train,2012-03-21T00:00:00,2012-03-21T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120322,train,2012-03-22T00:00:00,2012-03-22T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120323,train,2012-03-23T00:00:00,2012-03-23T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120324,train,2012-03-24T00:00:00,2012-03-24T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120325,train,2012-03-25T00:00:00,2012-03-25T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120326,train,2012-03-26T00:00:00,2012-03-26T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120327,train,2012-03-27T00:00:00,2012-03-27T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120328,train,2012-03-28T00:00:00,2012-03-28T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120329,train,2012-03-29T00:00:00,2012-03-29T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120330,train,2012-03-30T00:00:00,2012-03-30T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120331,train,2012-03-31T00:00:00,2012-03-31T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120401,train,2012-04-01T00:00:00,2012-04-01T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120402,train,2012-04-02T00:00:00,2012-04-02T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
t15_20120403,train,2012-04-03T00:00:00,2012-04-03T23:45:00,96,96,0,NEW-DATA-1.T15.txt,temperature_dining_c,900
