run_id,source_dataset,group_id,split,row_count,start_timestamp,end_timestamp
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2025,train,706,2025-01-01 00:30:00+00:00,2025-01-03 22:05:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2026,train,1,2026-01-01 00:35:00+00:00,2026-01-01 00:35:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_002_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2025,train,25,2025-01-04 01:10:00+00:00,2025-01-04 03:10:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_003_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2025,train,19,2025-01-04 04:40:00+00:00,2025-01-04 06:45:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_003_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2026,train,9,2026-01-01 02:10:00+00:00,2026-01-01 02:50:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_004_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2026,train,434,2026-01-01 04:10:00+00:00,2026-01-03 00:45:00+00:00
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_005_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_IEQ_SOURCE_YEAR_2026,train,306,2026-01-03 08:10:00+00:00,2026-01-04 15:10:00+00:00
EXT_INTEL_LAB_10_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_11_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_12_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,3,1970-01-01 00:35:00+00:00,1970-01-01 00:45:00+00:00
EXT_INTEL_LAB_13_001_INTEL_LAB_data,INTEL_LAB,INTEL_LAB_EXPERIMENT_2004,train,4,1970-01-01 00:30:00+00:00,1970-01-01 00:45:00+00:00
