node_id,sequence_number,timestamp_seconds,delivery_time_seconds,packet_latency_seconds,predicted_state_code,risk_probability,sensor_valid,fault_flags,sequence_issues
2,0,0.0,1.01184954551917,1.01184954551917,4,0.0,True,0,
2,1,60.0,60.80614676388804,0.8061467638880373,4,0.0,True,0,
2,2,120.0,121.34514115117973,1.3451411511797318,4,0.0,True,0,
2,3,180.0,181.1024430841697,1.1024430841696926,4,0.0,True,0,
2,4,480.0,480.7476911633288,0.7476911633287955,0,0.0,True,0,
2,5,780.0,781.007194482797,1.00719448279699,0,0.0,True,0,
2,6,1080.0,1085.7635897181342,5.763589718134199,0,0.0,True,0,
2,7,1380.0,1380.9753626251688,0.9753626251688274,0,0.0,True,0,
2,8,1740.0,1741.0951336583475,1.0951336583475495,0,0.0,True,0,
2,9,2160.0,2160.5631752993477,0.5631752993476766,0,0.0,True,0,
2,10,2460.0,2461.085758362758,1.0857583627580425,0,0.0,True,0,
2,11,2760.0,2761.0875947416475,1.0875947416475356,0,0.0,True,0,
2,12,3060.0,3060.726213054606,0.726213054605978,0,0.0,True,0,
2,13,3420.0,3420.725874634867,0.7258746348670684,0,0.0,True,0,
2,14,3720.0,3721.193253142851,1.1932531428510629,0,0.0,True,0,
2,15,4020.0,4020.945972777233,0.9459727772327824,0,0.0,True,0,
2,16,4440.0,4440.75097659199,0.7509765919903657,0,0.0,True,0,
2,17,4740.0,4740.888725524413,0.8887255244126209,0,0.0,True,0,
2,18,5040.0,5040.964105382255,0.9641053822551839,0,0.0,True,0,
2,19,5340.0,5340.728736982052,0.7287369820523963,0,0.0,True,0,
2,20,5640.0,5640.925296937538,0.9252969375384055,0,0.0,True,0,
2,21,5940.0,5941.252062808124,1.25206280812381,0,0.0,True,0,
2,22,6240.0,6241.103060995558,1.1030609955578257,0,0.0,True,0,
2,23,6540.0,6540.531925778815,0.5319257788150935,0,0.0,True,0,
2,24,6840.0,6841.015056038138,1.0150560381380274,0,0.0,True,0,
2,25,7140.0,7141.3657571210115,1.3657571210114838,0,0.0,True,0,
