feature,min,max,mean,std
current_temperature,3.7248,22.2178,8.43390331759014,5.818928722155071
previous_temperature,3.6972,22.2178,8.4185558691395,5.819666007112557
temperature_difference,-0.764899999999999,7.052999999999999,0.015347448450639324,0.30382848082982955
temperature_slope,-0.0127483333333333,0.1175499999999999,0.0002557908075106558,0.005063808013830469
temperature_acceleration,-0.0019503888888888,0.0019789444444444,-1.0963486452324726e-07,9.546583823282931e-05
distance_from_upper_limit,-14.2178,4.2752,-0.43390331759013934,5.818928722155071
distance_from_lower_limit,1.7248,20.2178,6.433903317590139,5.8189287221550705
distance_from_nearest_limit,0.0002999999999993,14.2178,3.7222633452367235,3.958409581195115
time_since_previous_valid_sample,60.0,60.0,60.0,0.0
rolling_mean_5,3.65062,22.0999,8.40228765484007,5.813509044887633
rolling_standard_deviation_5,0.0077476189891122,3.526495891618194,0.16838493586596573,0.29040110015267245
rolling_minimum_5,3.4095,22.035,8.173885289713168,5.795664576100192
rolling_maximum_5,3.7952,22.2178,8.634713811772839,5.8494156721901565
rolling_range_5,0.0212999999999992,7.311300000000001,0.46082852205967056,0.7518102893393017
sample_count_5,2.0,5.0,4.970164727565948,0.21661212772032812
valid_sample_count_5,2.0,5.0,4.970164727565948,0.21661212772032812
valid_ratio_5,1.0,1.0,1.0,0.0
maximum_gap_seconds_5,60.0,60.0,60.0,0.0
temperature_slope_ls_5,-0.0099873333333333,0.0363109999999999,0.00026753841449031745,0.0036033097845251686
rolling_mean_10,3.65062,22.06845,8.361928875943265,5.802059213573215
rolling_standard_deviation_10,0.0143500000000001,3.510396636407344,0.29992613053592043,0.475286719982962
rolling_minimum_10,3.4095,22.0071,7.916145732058518,5.766244961893547
rolling_maximum_10,3.7952,22.2178,8.831380774104368,5.890154408447429
rolling_range_10,0.0287000000000001,9.9014,0.9152350420458472,1.3387124930552625
sample_count_10,2.0,10.0,9.75440617440387,0.9255957082807151
valid_sample_count_10,2.0,10.0,9.75440617440387,0.9255957082807151
valid_ratio_10,1.0,1.0,1.0,0.0
maximum_gap_seconds_10,60.0,60.0,60.0,0.0
temperature_slope_ls_10,-0.0084244999999999,0.0191533838383838,0.0002929263409608246,0.002953535512346027
rolling_mean_20,3.65062,22.06218,8.283511116526833,5.762491753694139
rolling_standard_deviation_20,0.0156011217545359,4.426059027012633,0.5201154870799765,0.7248521564469531
rolling_minimum_20,3.4095,22.0071,7.495849948162654,5.690087022274605
rolling_maximum_20,3.7952,22.2178,9.17171120838613,5.966909978030445
rolling_range_20,0.0382000000000002,11.6382,1.6758612602234766,2.1706460836485375
sample_count_20,4.0,20.0,18.56640939983873,3.5155016321886197
valid_sample_count_20,4.0,20.0,18.56640939983873,3.5155016321886197
valid_ratio_20,1.0,1.0,1.0,0.0
maximum_gap_seconds_20,60.0,60.0,60.0,0.0
temperature_slope_ls_20,-0.0084244999999999,0.0123628370927318,0.0003360386876947459,0.0024696814565393975
