timestamp,run_id,source_type,source_dataset,sensor_id,inside_temp_c,sensor_valid,temp_lag_5m,temp_lag_10m,temp_lag_20m,temp_lag_30m,temp_delta_5m,rolling_mean_15m,rolling_mean_30m,rolling_std_30m,temp_slope_15m,temp_slope_30m,target_temp_5m_c,target_temp_15m_c,target_temp_30m_c,split_group,split,delta_5m,delta_10m,delta_15m,delta_30m,slope_10m,slope_15m,slope_30m,slope_change,delta_temp_5m_c,delta_temp_15m_c,delta_temp_30m_c
2025-01-01 01:00:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.3,True,18.3,18.3,18.4,18.4,0.0,18.333333333333332,18.366666666666664,0.04714045207910233,-0.0066666666666665,-0.0033333333333332,18.3,18.2,18.2,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,-0.09999999999999787,-0.09999999999999787,0.0,-0.006666666666666525,-0.0033333333333332624,0.0033333333333332624,0.0,-0.10000000000000142,-0.10000000000000142
2025-01-01 01:05:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.3,True,18.3,18.3,18.4,18.4,0.0,18.3,18.349999999999998,0.049999999999999344,-0.0066666666666665,-0.0033333333333332,18.2,18.2,18.2,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,0.0,-0.09999999999999787,0.0,0.0,-0.0033333333333332624,0.0033333333333332624,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142
2025-01-01 01:10:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.2,True,18.3,18.3,18.3,18.4,-0.1000000000000014,18.3,18.333333333333332,0.04714045207910348,0.0,-0.0033333333333332,18.2,18.2,18.2,BOLZANO_IEQ_SOURCE_YEAR_2025,train,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,-0.1999999999999993,-0.010000000000000142,-0.006666666666666762,-0.006666666666666643,-0.0033333333333334996,0.0,0.0,0.0
2025-01-01 01:15:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.2,True,18.2,18.3,18.3,18.4,0.0,18.266666666666666,18.3,0.05773502691896529,-0.0066666666666667,-0.0066666666666666,18.2,18.2,18.2,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,-0.10000000000000142,-0.10000000000000142,-0.1999999999999993,-0.010000000000000142,-0.006666666666666762,-0.006666666666666643,-0.0033333333333334996,0.0,0.0,0.0
2025-01-01 01:20:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.2,True,18.2,18.2,18.3,18.3,0.0,18.233333333333334,18.266666666666666,0.047140452079109885,-0.0066666666666667,-0.0033333333333333,18.2,18.2,18.2,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,-0.10000000000000142,-0.10000000000000142,0.0,-0.006666666666666762,-0.003333333333333381,0.003333333333333381,0.0,0.0,0.0
2025-01-01 01:25:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.2,True,18.2,18.2,18.3,18.3,0.0,18.2,18.25,0.05000000000000677,-0.0066666666666667,-0.0033333333333333,18.2,18.2,18.1,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,0.0,-0.10000000000000142,0.0,0.0,-0.003333333333333381,0.003333333333333381,0.0,0.0,-0.09999999999999787
2025-01-01 01:30:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.2,True,18.2,18.2,18.2,18.3,0.0,18.2,18.23333333333333,0.047140452079109885,0.0,-0.0033333333333333,18.2,18.2,18.1,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,0.0,-0.10000000000000142,0.0,0.0,-0.003333333333333381,0.003333333333333381,0.0,0.0,-0.09999999999999787
2025-01-01 02:10:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.1,True,18.2,18.2,18.2,18.3,0.0,18.2,18.216666666666665,0.03726779962500325,-0.0066666666666665,-0.0033333333333332,18.1,18.1,18.0,BOLZANO_IEQ_SOURCE_YEAR_2025,train,-0.09999999999999787,-0.09999999999999787,-0.09999999999999787,-0.1999999999999993,-0.009999999999999787,-0.006666666666666525,-0.006666666666666643,-0.003333333333333144,0.0,0.0,-0.10000000000000142
2025-01-01 02:15:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.1,True,18.1,18.2,18.2,18.2,0.0,18.166666666666668,18.183333333333334,0.03726779962499583,-0.0066666666666665,-0.0033333333333332,18.1,18.1,18.0,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,-0.09999999999999787,-0.09999999999999787,-0.09999999999999787,-0.009999999999999787,-0.006666666666666525,-0.0033333333333332624,-0.006666666666666524,0.0,0.0,-0.10000000000000142
2025-01-01 02:20:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.1,True,18.1,18.1,18.2,18.2,0.0,18.133333333333336,18.166666666666668,0.04714045207910245,0.0,-0.0033333333333332,18.1,18.0,18.0,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,-0.09999999999999787,-0.09999999999999787,0.0,-0.006666666666666525,-0.0033333333333332624,0.0033333333333332624,0.0,-0.10000000000000142,-0.10000000000000142
2025-01-01 02:25:00+00:00,EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_001_BOLZANO_IEQ_2025,EXTERNAL_DERIVED_BENCHMARK,BOLZANO_IEQ,BOLZANO_HOMECOACH,18.1,True,18.1,18.1,18.2,18.2,0.0,18.1,18.150000000000002,0.04999999999999911,0.0,-0.0033333333333332,18.1,18.0,18.0,BOLZANO_IEQ_SOURCE_YEAR_2025,train,0.0,0.0,0.0,-0.09999999999999787,0.0,0.0,-0.0033333333333332624,0.0033333333333332624,0.0,-0.10000000000000142,-0.10000000000000142
