timestamp,Temperature,Humidity,CO2,Noise,Pressure
2024-01-01 00:02:30,19.5,51,1418,43,999.3
2024-01-01 00:07:30,19.5,51,1432,39,999.3
2024-01-01 00:12:30,19.5,51,1418,35,999.4
2024-01-01 00:17:30,19.5,51,1418,33,999.4
2024-01-01 00:22:30,19.4,51,1404,34,999.4
2024-01-01 00:27:30,19.4,51,1404,32,999.5
2024-01-01 00:32:30,19.4,51,1432,32,999.6
2024-01-01 00:37:30,19.4,51,1404,33,999.6
2024-01-01 00:42:30,19.4,51,1417,32,999.7
2024-01-01 00:47:30,19.4,51,1418,32,999.4
2024-01-01 00:52:30,19.4,51,1449,32,999.4
2024-01-01 00:57:30,19.4,51,1414,32,999.6
2024-01-01 01:02:30,19.4,51,1407,33,999.6
2024-01-01 01:07:30,19.3,51,1413,32,999.6
2024-01-01 01:12:30,19.3,51,1415,32,999.7
2024-01-01 01:17:30,19.3,51,1417,32,999.6
2024-01-01 01:22:30,19.3,51,1419,32,999.5
2024-01-01 01:27:30,19.3,51,1414,32,999.3
2024-01-01 01:32:30,19.3,51,1409,32,999.2
2024-01-01 01:37:30,19.3,51,1404,32,999.1
2024-01-01 01:42:30,19.3,51,1401,32,998.9
2024-01-01 01:47:30,19.3,51,1414,32,998.8
2024-01-01 01:52:30,19.3,51,1415,32,998.8
2024-01-01 01:57:30,19.3,51,1441,32,998.7
2024-01-01 02:02:30,19.3,51,1418,32,998.7
2024-01-01 02:07:30,19.2,51,1432,32,998.5
2024-01-01 02:12:30,19.2,51,1422,32,998.8
2024-01-01 02:17:30,19.2,51,1455,32,999.1
2024-01-01 02:22:30,19.2,51,1446,32,999.1
2024-01-01 02:27:30,19.2,51,1441,32,999.2
2024-01-01 02:32:30,19.2,51,1417,32,999.2
2024-01-01 02:37:30,19.2,51,1443,32,999.1
2024-01-01 02:47:30,19.2,51,1443,32,999.0
2024-01-01 02:52:30,19.2,51,1460,32,999.0
2024-01-01 02:57:30,19.2,51,1425,32,999.2
2024-01-01 03:07:30,19.2,51,1432,32,999.1
2024-01-01 03:12:30,19.1,51,1458,32,999.2
2024-01-01 03:17:30,19.1,51,1457,32,999.2
2024-01-01 03:22:30,19.1,51,1448,33,999.2
2024-01-01 03:27:30,19.1,51,1424,32,999.2
2024-01-01 03:32:30,19.1,51,1440,32,999.2
2024-01-01 03:42:30,19.1,51,1448,32,999.2
2024-01-01 03:47:30,19.1,51,1454,32,999.1
2024-01-01 03:52:30,19.1,51,1419,32,999.2
2024-01-01 03:57:30,19.1,51,1459,32,999.3
2024-01-01 04:02:30,19.1,51,1424,32,999.3
2024-01-01 04:07:30,19.1,51,1441,32,999.3
2024-01-01 04:12:30,19.0,51,1439,32,999.4
2024-01-01 04:17:30,19.0,51,1411,32,999.5
2024-01-01 04:22:30,19.0,51,1456,32,999.5
2024-01-01 04:27:30,19.0,51,1430,32,999.5
2024-01-01 04:32:30,19.0,51,1453,32,999.5
2024-01-01 04:37:30,19.0,51,1453,32,999.6
2024-01-01 04:47:30,19.0,51,1456,32,999.6
2024-01-01 04:52:30,19.0,51,1416,32,999.6
2024-01-01 04:57:30,19.0,51,1441,31,999.6
2024-01-01 05:02:30,19.0,51,1461,32,999.6
2024-01-01 05:07:30,19.0,51,1447,31,999.7
2024-01-01 05:12:30,19.0,51,1441,32,999.7
2024-01-01 05:17:30,18.9,51,1438,32,999.7
2024-01-01 05:22:30,18.9,51,1443,32,999.8
2024-01-01 05:27:30,18.9,51,1455,32,999.8
2024-01-01 05:32:30,18.9,51,1426,32,999.7
2024-01-01 05:37:30,18.9,51,1452,32,999.8
2024-01-01 05:42:30,18.9,51,1443,32,999.9
2024-01-01 05:47:30,18.9,51,1455,31,1000.0
2024-01-01 05:52:30,18.9,51,1455,32,1000.0
2024-01-01 05:57:30,18.9,51,1437,32,1000.0
2024-01-01 06:02:30,18.9,51,1452,32,1000.1
2024-01-01 06:07:30,18.9,51,1470,32,1000.2
2024-01-01 06:12:30,18.9,51,1451,32,1000.2
2024-01-01 06:22:30,18.9,51,1454,32,1000.3
2024-01-01 06:27:30,18.9,51,1484,32,1000.3
2024-01-01 06:32:30,18.9,51,1439,32,1000.5
2024-01-01 06:37:30,18.8,51,1451,32,1000.5
2024-01-01 06:42:30,18.8,51,1427,32,1000.5
2024-01-01 06:47:30,18.8,51,1454,32,1000.5
2024-01-01 06:52:30,18.8,51,1465,32,1000.6
2024-01-01 06:57:30,18.8,51,1427,32,1000.7
2024-01-01 07:02:30,18.8,51,1488,32,1000.6
2024-01-01 07:07:30,18.8,51,1442,32,1000.6
2024-01-01 07:12:30,18.8,51,1454,32,1000.7
2024-01-01 07:17:30,18.8,51,1468,32,1000.8
2024-01-01 07:22:30,18.8,51,1450,32,1000.9
2024-01-01 07:27:30,18.8,51,1450,32,1001.0
2024-01-01 07:32:30,18.8,51,1453,32,1000.9
2024-01-01 07:37:30,18.8,51,1467,32,1001.0
2024-01-01 07:42:30,18.8,51,1438,32,1001.1
2024-01-01 07:47:30,18.8,51,1478,32,1001.3
2024-01-01 07:52:30,18.7,51,1428,32,1001.4
2024-01-01 07:57:30,18.7,51,1461,32,1001.5
2024-01-01 08:02:30,18.7,51,1467,32,1001.6
2024-01-01 08:07:30,18.7,51,1495,32,1001.7
2024-01-01 08:12:30,18.7,51,1460,32,1001.7
2024-01-01 08:17:30,18.7,51,1453,32,1001.9
2024-01-01 08:22:30,18.7,51,1477,32,1002.0
2024-01-01 08:27:30,18.7,51,1445,32,1002.1
2024-01-01 08:32:30,18.7,51,1466,32,1002.1
2024-01-01 08:37:30,18.7,51,1501,32,1002.1
2024-01-01 08:42:30,18.7,51,1463,32,1002.1
2024-01-01 08:47:30,18.7,51,1463,39,1002.1
2024-01-01 08:52:30,18.6,51,1249,44,1002.2
2024-01-01 08:57:30,18.4,51,1256,58,1002.3
2024-01-01 09:02:30,18.6,51,1315,52,1002.4
2024-01-01 09:07:30,18.8,51,1407,55,1002.4
2024-01-01 09:12:30,19.0,51,1504,48,1002.5
2024-01-01 09:17:30,19.2,51,1552,44,1002.5
2024-01-01 09:22:30,19.2,51,1622,44,1002.5
2024-01-01 09:27:30,19.3,51,1650,42,1002.6
2024-01-01 09:32:30,19.4,51,1667,52,1002.7
2024-01-01 09:37:30,19.5,51,1683,58,1002.8
2024-01-01 09:42:30,19.5,51,1740,43,1002.8
2024-01-01 09:47:30,19.6,51,1654,40,1002.8
2024-01-01 09:52:30,19.6,51,1638,36,1002.9
2024-01-01 09:57:30,19.6,51,1587,41,1003.0
2024-01-01 10:02:30,19.7,51,1539,40,1003.1
2024-01-01 10:07:30,19.7,50,1539,44,1003.1
2024-01-01 10:12:30,19.6,50,1342,45,1003.0
2024-01-01 10:17:30,19.6,49,1184,49,1003.1
2024-01-01 10:22:30,19.5,49,1048,60,1003.2
2024-01-01 10:27:30,19.5,49,928,50,1003.3
2024-01-01 10:32:30,19.5,49,848,49,1003.4
2024-01-01 10:37:30,19.5,49,803,42,1003.4
2024-01-01 10:42:30,19.4,48,751,46,1003.6
2024-01-01 10:47:30,19.4,48,716,51,1003.6
2024-01-01 10:52:30,19.4,48,686,50,1003.5
2024-01-01 10:57:30,19.4,48,605,53,1003.5
2024-01-01 11:02:30,19.4,48,616,52,1003.5
2024-01-01 11:07:30,19.3,47,575,50,1003.4
2024-01-01 11:12:30,19.3,47,597,49,1003.5
2024-01-01 11:17:30,19.4,47,583,51,1003.5
2024-01-01 11:22:30,19.4,47,639,50,1003.4
2024-01-01 11:27:30,19.4,47,617,51,1003.3
2024-01-01 11:32:30,19.4,47,591,50,1003.3
2024-01-01 11:37:30,19.5,47,606,52,1003.3
2024-01-01 11:42:30,19.5,47,586,52,1003.4
2024-01-01 11:47:30,19.5,46,573,54,1003.3
2024-01-01 11:52:30,19.4,46,595,55,1003.3
2024-01-01 11:57:30,19.4,47,666,52,1003.3
2024-01-01 12:02:30,19.5,47,686,57,1003.4
2024-01-01 12:07:30,19.6,48,706,57,1003.4
2024-01-01 12:12:30,19.7,48,794,59,1003.4
2024-01-01 12:17:30,19.8,48,815,57,1003.4
2024-01-01 12:22:30,19.9,48,849,58,1003.3
2024-01-01 12:27:30,19.9,48,908,49,1003.2
2024-01-01 12:32:30,20.0,48,917,52,1003.1
2024-01-01 12:37:30,20.0,48,945,48,1003.1
2024-01-01 12:42:30,20.1,48,952,49,1003.1
2024-01-01 12:47:30,20.1,48,1004,47,1003.1
2024-01-01 12:52:30,20.2,49,974,46,1003.1
2024-01-01 12:57:30,20.2,49,980,44,1003.1
2024-01-01 13:02:30,20.2,49,1070,47,1003.0
2024-01-01 13:07:30,20.3,50,1076,42,1003.0
2024-01-01 13:12:30,20.4,50,1090,42,1003.0
2024-01-01 13:17:30,20.4,50,1154,46,1002.9
