node_id,sequence_number,alert,timestamp_seconds
1,17.0,EXCURSION_RISK,4920.0
1,18.0,EXCURSION_RISK,4980.0
1,19.0,EXCURSION_RISK,5040.0
1,20.0,EXCURSION_RISK,5100.0
1,21.0,EXCURSION_RISK,5160.0
1,22.0,EXCURSION_RISK,5220.0
1,23.0,EXCURSION_RISK,5280.0
1,24.0,EXCURSION_RISK,5340.0
1,25.0,EXCURSION_RISK,5400.0
1,26.0,EXCURSION_RISK,5460.0
1,27.0,EXCURSION_RISK,5520.0
1,28.0,EXCURSION_RISK,5580.0
1,29.0,EXCURSION_RISK,5640.0
1,30.0,EXCURSION_RISK,5700.0
1,31.0,EXCURSION_RISK,5760.0
1,32.0,EXCURSION_RISK,5820.0
1,33.0,EXCURSION_RISK,5880.0
1,34.0,EXCURSION_RISK,5940.0
1,35.0,EXCURSION_RISK,6000.0
1,36.0,EXCURSION_RISK,6060.0
1,37.0,EXCURSION_RISK,6120.0
1,38.0,EXCURSION_RISK,6180.0
1,39.0,EXCURSION_RISK,6240.0
1,40.0,EXCURSION_RISK,6300.0
1,41.0,EXCURSION_RISK,6360.0
1,42.0,EXCURSION_RISK,6420.0
1,43.0,EXCURSION_RISK,6480.0
1,44.0,EXCURSION_RISK,6540.0
1,45.0,EXCURSION_RISK,6600.0
1,46.0,EXCURSION_RISK,6660.0
1,47.0,EXCURSION_RISK,6720.0
1,48.0,EXCURSION_RISK,6780.0
1,49.0,EXCURSION_RISK,6840.0
1,50.0,EXCURSION_RISK,6900.0
1,51.0,EXCURSION_RISK,6960.0
1,52.0,EXCURSION_RISK,7020.0
1,53.0,EXCURSION_RISK,7080.0
1,54.0,EXCURSION_RISK,7140.0
1,55.0,EXCURSION_RISK,7200.0
1,,STALE_NODE:1,7801.0
