node_id,sequence_number,alert,timestamp_seconds
3,58,EXCURSION_RISK,4320.0
3,59,EXCURSION_RISK,4380.0
3,60,EXCURSION_RISK,4440.0
3,61,EXCURSION_RISK,4500.0
3,62,EXCURSION_RISK,4560.0
3,63,EXCURSION_RISK,4620.0
3,64,EXCURSION_RISK,4680.0
3,65,EXCURSION_RISK,4740.0
3,66,EXCURSION_RISK,4800.0
3,67,EXCURSION_RISK,4860.0
3,68,EXCURSION_RISK,4920.0
3,69,EXCURSION_RISK,4980.0
3,70,EXCURSION_RISK,5040.0
3,71,EXCURSION_RISK,5100.0
3,72,EXCURSION_RISK,5160.0
3,73,EXCURSION_RISK,5220.0
3,74,EXCURSION_RISK,5280.0
3,75,EXCURSION_RISK,5340.0
3,76,EXCURSION_RISK,5400.0
3,77,EXCURSION_RISK,5460.0
3,78,EXCURSION_RISK,5520.0
3,79,EXCURSION_RISK,5580.0
3,80,EXCURSION_RISK,5640.0
3,81,EXCURSION_RISK,5700.0
3,82,EXCURSION_RISK,5760.0
3,83,EXCURSION_RISK,5820.0
3,84,EXCURSION_RISK,5880.0
3,85,EXCURSION_RISK,5940.0
3,86,EXCURSION_RISK,6000.0
3,87,EXCURSION_RISK,6060.0
3,88,EXCURSION_RISK,6120.0
3,89,EXCURSION_RISK,6180.0
3,90,EXCURSION_RISK,6240.0
3,91,EXCURSION_RISK,6300.0
3,92,EXCURSION_RISK,6360.0
3,93,EXCURSION_RISK,6420.0
3,94,EXCURSION_RISK,6480.0
3,95,EXCURSION_RISK,6540.0
3,96,EXCURSION_RISK,6600.0
3,97,EXCURSION_RISK,6660.0
3,98,EXCURSION_RISK,6720.0
3,99,EXCURSION_RISK,6780.0
3,100,EXCURSION_RISK,6840.0
3,101,EXCURSION_RISK,6900.0
3,102,EXCURSION_RISK,6960.0
3,103,EXCURSION_RISK,7020.0
3,104,EXCURSION_RISK,7080.0
3,105,EXCURSION_RISK,7140.0
3,106,EXCURSION_RISK,7200.0
