node_id,sequence_number,timestamp_seconds,delivery_time_seconds,packet_latency_seconds,predicted_state_code,risk_probability,sensor_valid,fault_flags,sequence_issues
2,0,0.0,1.01184954551917,1.01184954551917,2,0.0,True,0,
2,1,600.0,600.806146763888,0.8061467638880231,2,1.0,True,0,
2,2,1200.0,1201.3451411511796,1.3451411511796323,2,1.0,True,0,
2,3,1800.0,1801.1024430841696,1.1024430841696358,2,1.0,True,0,
2,4,2400.0,2400.747691163329,0.7476911633289092,2,1.0,True,0,
2,5,3000.0,3001.007194482797,1.0071944827968764,2,1.0,True,0,
2,6,3600.0,3605.763589718134,5.7635897181339715,2,1.0,True,0,
2,7,4200.0,4200.975362625169,0.9753626251686001,2,1.0,True,0,
2,8,4800.0,4801.095133658348,1.0951336583475495,2,1.0,True,0,
2,9,5400.0,5400.563175299348,0.5631752993476766,2,1.0,True,0,
2,10,6000.0,6001.085758362758,1.0857583627575877,2,1.0,True,0,
2,11,6600.0,6601.087594741648,1.0875947416479903,2,1.0,True,0,
2,12,7200.0,7200.726213054606,0.726213054605978,2,1.0,True,0,
