feature,min,max,mean,std
current_temperature,3.4095,22.2178,8.319706235591173,5.82995846377501
previous_temperature,3.4095,22.2178,8.194864651462995,5.7869636987385675
temperature_difference,-0.764899999999999,7.052999999999999,0.016079802791934408,0.3014681407657146
temperature_slope,-0.0127483333333333,0.1175499999999999,0.00026795345532435935,0.005023588517679472
temperature_acceleration,-0.0019503888888888,0.0019789444444444,-2.0257476486970933e-07,9.487236621919539e-05
distance_from_upper_limit,-14.2178,4.5905000000000005,-0.31970623559117345,5.82995846377501
distance_from_lower_limit,1.4095,20.2178,6.319706235591173,5.82995846377501
distance_from_nearest_limit,0.0002999999999993,14.2178,3.7027062575474807,3.9467333542442535
sensor_currently_valid,False,True,0.971212282759356,0.16721831811849097
time_since_previous_valid_sample,60.0,1020.0,68.94578313253012,69.74453397073438
rolling_mean_5,3.4095,22.0999,8.217957638483966,5.805564239300901
rolling_standard_deviation_5,0.0,3.526495891618194,0.16264048029603168,0.2839069066250249
rolling_minimum_5,3.4095,22.0644,7.997974516790843,5.782871665954852
rolling_maximum_5,3.4095,22.2178,8.441509178274483,5.84609155725016
rolling_range_5,0.0,7.311300000000001,0.44353466148364107,0.7356241960686505
sample_count_5,0.0,5.0,4.767779080925472,0.840197122562169
valid_sample_count_5,0.0,5.0,4.767779080925472,0.840197122562169
valid_ratio_5,1.0,1.0,1.0,0.0
maximum_gap_seconds_5,0.0,60.0,59.469026548672566,5.619594411825623
temperature_slope_ls_5,-0.0106666666666666,0.0363109999999999,0.0002771109009157939,0.003589917327958758
rolling_mean_10,3.4095,22.0979,8.153165410057166,5.784649330180819
rolling_standard_deviation_10,0.0,3.510396636407344,0.284585407179748,0.4632688598865756
rolling_minimum_10,3.4095,22.0644,7.731124149769338,5.73823076737822
rolling_maximum_10,3.4095,22.2178,8.596951453706684,5.882532472003739
rolling_range_10,0.0,9.9014,0.8658273039373457,1.3072395253517062
sample_count_10,0.0,10.0,9.319010555496321,1.9302598846314514
valid_sample_count_10,0.0,10.0,9.319010555496321,1.9302598846314514
valid_ratio_10,1.0,1.0,1.0,0.0
maximum_gap_seconds_10,0.0,60.0,59.469026548672566,5.619594411825623
temperature_slope_ls_10,-0.0106666666666666,0.0191533838383838,0.00030066673820213136,0.00296293288011717
rolling_mean_20,3.4095,22.0979,8.05496353506483,5.736163392914181
rolling_standard_deviation_20,0.0,4.426059027012633,0.48720316358713994,0.7076684672802862
rolling_minimum_20,3.4095,22.0644,7.317639641752852,5.644584075244505
rolling_maximum_20,3.4095,22.2178,8.88495298006184,5.960054157273327
rolling_range_20,0.0,11.6382,1.5673133383089881,2.1246197693383433
sample_count_20,1.0,20.0,17.767672459750507,4.688605299157721
valid_sample_count_20,1.0,20.0,17.767672459750507,4.688605299157721
valid_ratio_20,1.0,1.0,1.0,0.0
maximum_gap_seconds_20,0.0,60.0,59.469026548672566,5.619594411825623
temperature_slope_ls_20,-0.0106666666666666,0.0123628370927318,0.0003377242255692182,0.0024990511317076083
feature_valid,False,True,0.9359206738458258,0.24490725020932064
